City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
419,Dubbo,AU,-32.25,148.6167,55.53,67,99,11.5,overcast clouds
420,Aden,YE,12.7794,45.0367,88.27,68,0,6.96,clear sky
421,Namuac,PH,18.6109,121.1657,87.55,66,100,10.27,overcast clouds
422,Nerchinskiy Zavod,RU,51.3088,119.61,73.4,63,71,6.31,broken clouds
423,Zafra,ES,38.4167,-6.4167,66.88,50,0,3.2,clear sky
424,Baiyin,CN,36.5583,104.2081,87.53,17,100,17.69,overcast clouds
425,Ust-Omchug,RU,61.15,149.6333,46.51,82,100,2.3,overcast clouds
426,Hawalli,KW,29.2833,47.9972,100.56,32,0,1.99,clear sky
427,Stuttgart,DE,48.7823,9.177,76.28,86,40,4.61,light rain
428,Fremont,US,37.5483,-121.9886,63.21,75,1,1.99,clear sky
429,Presidente Medici,BR,-11.1753,-61.9014,68.56,85,0,3.15,clear sky
430,Avera,US,33.194,-82.5271,75.29,94,100,9.64,overcast clouds
431,Belaguntha,IN,19.8833,84.65,97.25,35,97,6.17,moderate rain
432,Morgan City,US,29.6994,-91.2068,77.0,95,100,5.21,overcast clouds
433,Luganville,VU,-15.5333,167.1667,77.22,87,85,6.64,overcast clouds
434,Kamenka,RU,51.3223,42.7678,86.72,48,3,9.64,clear sky
435,Moussoro,TD,13.6408,16.4901,93.99,35,100,7.9,overcast clouds
436,Henties Bay,NA,-22.116,14.2845,72.23,50,0,3.53,clear sky
437,Mpika,ZM,-11.8343,31.4529,67.84,50,24,10.63,few clouds
438,Lam Luk Ka,TH,13.9323,100.7494,97.99,42,40,8.05,scattered clouds
439,Muros,ES,42.7762,-9.0603,64.24,73,34,12.26,scattered clouds
440,Pevek,RU,69.7008,170.3133,40.73,71,29,4.65,scattered clouds
441,Sibolga,ID,1.7427,98.7792,76.86,90,99,2.48,overcast clouds
442,Road Town,VG,18.4167,-64.6167,76.19,79,100,20.4,overcast clouds
443,Tambovka,RU,50.0969,128.0489,77.11,54,28,7.23,scattered clouds
444,Monrovia,LR,6.3005,-10.7969,78.57,82,86,4.72,overcast clouds
445,Patos,BR,-7.0244,-37.28,67.33,90,13,5.97,few clouds
446,Guayaramerin,BO,-10.8368,-65.3614,67.93,85,0,1.9,clear sky
447,Harwich,GB,51.9419,1.2844,60.48,69,96,13.0,overcast clouds
448,Filingue,NE,14.3521,3.3168,87.37,52,43,18.12,scattered clouds
449,San Carlos Del Zulia,VE,9.0,-71.9135,73.13,94,40,4.85,scattered clouds
450,Cap Malheureux,MU,-19.9842,57.6142,76.46,49,74,10.0,broken clouds
451,Porto Torres,IT,40.835,8.3972,82.09,58,0,7.34,clear sky
452,Mbaiki,CF,3.8678,17.9892,70.81,92,100,2.77,overcast clouds
453,Anadyr,RU,64.75,177.4833,40.87,72,11,6.11,few clouds
454,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,78,75,14.97,broken clouds
455,Ahipara,NZ,-35.1667,173.1667,55.45,77,3,10.87,clear sky
456,Ngaoundere,CM,7.3167,13.5833,72.05,78,100,3.29,overcast clouds
