City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,Puerto Gaitan,4.2833,21.0167,83.44,62,91,1.21,CD,2021-06-19 08:07:46
154,Puerto Gaitan,51.5001,-107.0513,51.03,83,54,1.9,CA,2021-06-19 08:06:00
155,Puerto Gaitan,72.7868,-56.1549,36.39,63,34,4.5,GL,2021-06-19 08:05:55
156,Puerto Gaitan,-21.3585,55.7679,77.22,62,44,9.19,RE,2021-06-19 08:06:08
157,Puerto Gaitan,64.8945,-23.7142,39.69,91,92,10.25,IS,2021-06-19 08:06:25
158,Puerto Gaitan,-5.1989,-35.4608,72.5,92,9,11.63,BR,2021-06-19 08:06:58
159,Puerto Gaitan,-0.6,73.0833,83.8,71,100,10.22,MV,2021-06-19 08:05:53
160,Puerto Gaitan,18.3778,103.6601,94.15,48,34,9.44,LA,2021-06-19 08:07:46
161,Puerto Gaitan,-3.3333,36.8,59.5,82,99,6.6,TZ,2021-06-19 08:07:46
162,Puerto Gaitan,13.4667,79.1167,93.61,31,100,16.62,IN,2021-06-19 08:07:47
163,Puerto Gaitan,70.6333,147.9167,73.09,34,100,7.2,RU,2021-06-19 08:06:08
164,Puerto Gaitan,60.1432,-45.2371,40.15,73,100,10.87,GL,2021-06-19 08:07:03
165,Puerto Gaitan,-20.3428,57.7575,77.22,61,5,12.06,MU,2021-06-19 08:06:30
166,Puerto Gaitan,42.2209,-70.9398,69.22,75,20,1.01,US,2021-06-19 08:07:47
167,Puerto Gaitan,71.6872,128.8694,62.37,44,99,5.73,RU,2021-06-19 08:07:08
168,Puerto Gaitan,54.7804,-127.1743,47.88,82,100,2.62,CA,2021-06-19 08:07:47
169,Puerto Gaitan,16.7833,94.7333,83.73,76,100,8.16,MM,2021-06-19 08:06:21
170,Puerto Gaitan,45.0205,-93.218,69.42,53,1,10.36,US,2021-06-19 08:07:47
171,Puerto Gaitan,2.3,111.8167,84.65,63,100,4.61,MY,2021-06-19 08:07:48
172,Puerto Gaitan,21.4267,39.8261,106.63,11,10,10.96,SA,2021-06-19 08:07:48
173,Puerto Gaitan,-28.5708,-70.7581,52.68,60,0,3.44,CL,2021-06-19 08:07:48
174,Puerto Gaitan,43.7501,-81.7165,63.91,83,0,6.78,CA,2021-06-19 08:01:08
175,Puerto Gaitan,57.8,158.6667,51.93,65,100,13.8,RU,2021-06-19 08:07:48
176,Puerto Gaitan,6.5833,3.75,81.28,83,100,1.19,NG,2021-06-19 08:07:26
177,Puerto Gaitan,-17.2614,27.4618,67.14,47,76,2.8,ZM,2021-06-19 08:07:49
178,Puerto Gaitan,35.3667,132.7667,73.98,74,99,7.36,JP,2021-06-19 08:07:49
179,Puerto Gaitan,31.6682,20.2521,79.39,38,0,12.19,LY,2021-06-19 08:07:49
